,title,time
82,香港福晟国际2020年营收11.65亿净利下跌超十倍至亏损13....,2021-07-13
83,香港华润置地2021年6月销售同比增长21.8%新增7幅地块(347),2021-07-13
84,香港2021年上半年仅5宗强拍申请按年减67%(236),2021-07-13
85,报告称香港房地产市场处于转折点(628),2021-07-13
86,2021年7月12日香港领悦服务集团上市首日收于4.19港元/股...,2021-07-12
87,香港佳源国际2021上半年合同销售额191.27亿同比上涨64%...,2021-07-11
88,香港金朝阳2亿港元购香港葵涌南华冷房大厦部份物业(462),2021-07-07
89,"香港将修例管制""房""租务(521)",2021-07-06
90,香港莱蒙国际2021年上半年预售额约13.6亿港元九成来自香港及...,2021-07-05
91,渣打香港为英国施罗德资本提供绿色贷款协助其收购荃湾有线电视大楼(...,2021-07-01
92,香港2021年第二季豪宅租金微升结束八季连跌(1437),2021-07-01
93,香港车位成交价创全球最贵纪录一个车位换北上广一套房(458),2021-06-30
94,香港豪宅单个车位1200万港元成交刷新全球最贵纪录(299),2021-06-29
95,"香港建业与荣华签署战略合作协议""大中原战略""助力陕西三秦(1715)",2021-06-29
96,香港力高地产集团拟发行6亿元优先票据年利率10.5%(261),2021-06-28
97,香港远东发展2021年财年收益59亿港元同比下降20.2%(332),2021-06-25
98,香港古洞住宅地截标收佳兆业.长实等15份标书(586),2021-06-25
99,绿地香港与黑牡丹开发无锡地块其前5月完成年目标仅两成(784),2021-06-25
100,"香港""同心村""过渡房2076个建筑模块均为深企制造(652)",2021-06-25
101,香港兴业2021年度总收入39.42亿港元归母年度溢利8.97亿...,2021-06-23
102,香港合生创展集团拟发行2亿美元6.8%优先票据(204),2021-06-22
103,"香港楼市现""打新""潮新盘超额认购175倍(242)",2021-06-22
104,香港新界古洞7624平方米宅地将于2021年6月25日起招标(173),2021-06-21
105,香港金融发展局推动香港房托基金多元发展(1384),2021-06-17
106,香港千万车位创全球新高(790),2021-06-17
107,香港嘉华国际与第一太平戴维斯签署战略合作推进大湾区精品住宅市场(...,2021-06-17
108,林郑月娥称香港特区政府会全速落成过渡性房屋单位(531),2021-06-16
109,香港金辉集团拟发行13.5亿元债券用于置换已偿还到期的公司债券(...,2021-06-15
110,建灏地产6.18亿港元中标香港橡树街项目(378),2021-06-11
111,香港佳源国际2021年1-5月合同销售额127亿同比上升约63%...,2021-06-10
112,香港力高集团分拆旗下物管力高健康生活于港交所上市(150),2021-06-09
113,香港德祥地产9500万港元继续收购上海漕河泾万丽酒店权益(682),2021-06-09
114,"2021年上半年香港楼市提早现""小阳春""(587)",2021-06-08
115,"2021年上半年香港楼市提早现""小阳春""(583)",2021-06-08
116,经济复苏带动香港楼市升温2021年第3季度楼价有望重回高峰(526),2021-06-08
117,香港政团建议特区政府采多元方法解决房屋问题(616),2021-06-07
118,美联称香港2021年5月逾2000万港元住宅注册量创34个月新高...,2021-06-04
119,香港合生创展2021年1-5月实现合约销售额181.52亿元同比...,2021-06-03
120,香港2021年5月住宅买卖合约总值按年涨46%(471),2021-06-02
121,香港特区政府积极解决房屋问题2019年至今收回90公顷土地(504),2021-06-02
122,永义国际成功中标香港九龙漆咸道北大厦中标价为3亿港元(444),2021-06-01
123,香港房委会上年度公屋及绿置居落成量创10年新低(138),2021-05-28
124,"""新香港人""入市豪宅香港二手楼价创21个月新高(263)",2021-05-28
125,高力国际指香港商用物业市场最坏的时刻已经过去(352),2021-05-26
126,香港金发局多方面入手提升香港房托基金市场流动性(458),2021-05-19
127,截至2021年4月香港房托基金总市值约2440亿港元(421),2021-05-19
128,万科香港95亿美元中票不会对财务造成显着影响(318),2021-05-17
129,香港华润置地登<>全球企业2000强第190位(295),2021-05-14
130,香港建业地产除权日股价腰斩分拆上市加速(859),2021-05-14
131,2021年香港中环写字楼租金中单位数跌幅(340),2021-05-13
132,香港佳源国际2021年1-4月合同销售额近96亿完成年度目标约2...,2021-05-12
133,利嘉阁估计2021年香港全年落成量可达1.6万至1.8万伙水平(...,2021-05-12
134,香港公屋平均轮候时间升至5.8年创22年新高(338),2021-05-11
135,香港公屋平均轮候时间升至5.8年创22年新高(338),2021-05-11
136,香港推出开放式基金型公司及房地产投资信托基金资助计划(331),2021-05-10
137,香港特区立法会综合大楼将扩建(411),2021-05-10
138,香港财库局局长表示投入5.7亿预算助香港把握全球金融新趋势(829),2021-05-09
139,香港过渡性房屋供应进展理想达标在望(665),2021-05-09
140,香港建业地产2021年1-4月销售微增至219.15亿(288),2021-05-06
141,标普料香港2021年楼价最多可升5%(556),2021-05-05
142,深圳顺丰房托香港首次公开发售料年化收益率可达5.9%(645),2021-05-04
143,香港现楼按揭宗数连升两月(459),2021-05-03
144,仲量联行指香港豪宅资本值于2021年1季度按季反弹0.8%(546),2021-05-03
145,香港运房局称未来3至4年一手住宅供应量9.3万伙近一年首度回升(...,2021-04-30
146,莱坊指香港豪宅租金仍是全球最高(258),2021-04-30
147,香港特区政府想方设法增加土地及公共房屋供应(1764),2021-04-27
148,香港林郑月娥称中央稍后会公布粤港澳大湾区下一步发展(183),2021-04-27
149,香港特区政府多种渠道提高土地及公共房屋供应(653),2021-04-22
150,分析估计香港古洞北住宅地估值54亿至60亿港元(354),2021-04-22
151,香港2020年花309亿元大湾区买房珠海.中山最受欢迎(1591),2021-04-21
152,团结香港基金发表土地房屋政策研究报告促加快推进造地计划(828),2021-04-21
153,福州阳光城拟分拆旗下物业公司在香港主板上市(398),2021-04-15
154,戴德梁行发布2021年首季香港写字楼租金同比下跌17.6%(786),2021-04-12
155,香港旭辉2021年3月销售260亿同比增157%市值创历史新高(...,2021-04-07
156,香港华润置地逆周期实现高质量成长(1505),2021-04-01
157,疫情无碍业务步入收成期-2020香港鼎丰集团纯利达人民币3.6亿...,2021-03-30
158,2020年销售额增长毛利率下降绿地香港2021年定下600亿目标...,2021-03-29
159,2020年绿地香港房地产合约销售545.35亿元同比增长13%(...,2021-03-26
160,香港合生创展2020年归属股东净利润136.34亿港元同比增长4...,2021-03-24
161,"香港特区立法会通过皇岗口岸""一地两检""后续工作议案(741)",2021-03-24
162,香港世茂服务表示未来三年剑指行业引领者(1085),2021-03-19
163,助力乡村振兴显担当-香港佳兆业获“2020-2021年度扶贫标杆...,2021-03-18
164,香港立法会通过撤销非住宅双倍印花税有利企业缓解现金需求(453),2021-03-17
165,2021年3月15日香港世茂服务上市后财报首秀-营收.规模增幅超...,2021-03-15
166,香港太古地产业绩三连跌2020年盈利创近年新低(1422),2021-03-12
167,香港亚洲首间全球当代视觉文化博物馆M+竣工料2021年底开幕(713),2021-03-12
168,北京居理买房网完成4亿元C+轮融资深圳腾讯香港海松资本领投(435),2021-03-11
169,戴德梁行称香港楼价下行已见底料2021年第2季度将迎反弹(573),2021-03-11
170,香港九龙仓2020年盈利升14%受惠于内地业务明显复苏(563),2021-03-09
171,香港世茂2021年2月合约销售额超170亿(1685),2021-03-05
172,"六大区域区首集体换防-香港华润置地称开展""人员轮岗常态化交流""(...",2021-03-01
173,香港立法会研究指香港自置居所比率为20年新低(642),2021-03-01
174,香港特区政府新年度计划出售15块住宅用地及3块商业用地(561),2021-02-26
175,香港特区政府新年度计划出售15块住宅用地及3块商业用地(561),2021-02-26
176,香港金辉集团Jinhui Shipping年度业绩由盈转亏(265),2021-02-25
177,世贸同意香港要求将成立专家组审理产地来源标记新规争端(643),2021-02-24
178,香港财政司称来港上市的合格房托基金将获最高800万港元资助(541),2021-02-24
179,香港财政司称来港上市的合格房托基金将获最高800万港元资助(442),2021-02-24
180,中原施永青称香港房价2021年料升15%(248),2021-01-26
181,香港官员称土地供应充足可满足未来十年公营房屋需求(788),2021-01-22
182,香港总资产超8000亿地产航母华润置地稳健财务筑牢高质量增长护城...,2021-01-20
183,香港力高集团超额完成2020年销售目标(1190),2021-01-05
184,老牌港企耗资逾10亿元建成广州南沙第一高楼(442),2021-01-05
185,"香港财库局局长称""积金易""运作料10年至少节省300亿元(720)",2021-01-04
186,香港特区政府2021年1季推三幅住宅用地全年私宅供应达目标99%...,2020-12-29
187,2021年赴香港上市物企已达16家行业人士称物管行业将迎整合和分...,2020-12-26
188,香港力高集团发布NOWA2.0产品发力探索健康建筑领域(500),2020-12-24
189,香港合生创展激进转型A面巨额拿地.B面炒股赚快钱(1705),2020-12-22
190,2020年11月香港整体消费物价同比跌0.2%(304),2020-12-21
191,香港合生创展囤地开发加杠杆炒股赚快钱(1693),2020-12-18
192,香港未来10年计划供应逾30万套公营房屋(509),2020-12-17
193,香港未来10年供应逾30万套公营房屋(303),2020-12-17
194,香港轮候公屋时间料于2026年开始回落(629),2020-12-17
195,香港未来十年维持43万套房屋供应公私营房比例七比三(797),2020-12-16
196,浙江佳源服务在香港港交所挂牌上市(676),2020-12-10
197,若环球经济继续改善香港经济有望在2021年恢复正增长(825),2020-12-07
198,香港港交所拟提高主板上市门槛最近财年盈利不低于5000万(594),2020-11-28
199,香港林郑月娥表示未来十年建逾30万个公营房屋单位(249),2020-11-26
200,绿地香港2020年1-10月销售270.52亿元同比下降29.7...,2020-11-12
201,香港融信服务集团规模尚小的融信服务也向港交所进发了(1535),2020-11-05
202,2020年9月香港本地股强势九龙仓置业升超5%恒隆地产涨近4%(...,2020-11-03
203,香港祥生拟全球发售6亿股预计募资达31.17亿元(1309),2020-10-30
204,金辉控股香港挂牌上市正式登陆国际资本市场(1589),2020-10-29
205,星网锐捷NexHome中标绿地香港可视对讲全国战略采购项目(749),2020-10-28
206,香港合生创展50亿元购房尾款ABS获上交所反馈(123),2020-10-27
207,香港路劲基建2020年前3季度物业销售额332.12亿元(210),2020-10-23
208,香港合生创展2020年前3季度合约销售220.16亿元同比上升3...,2020-10-14
209,港媒称美国驻港总领馆寿山洋房已出售预计2020年底将完成交易(411),2020-09-09
210,拖欠数月租金香港I.T集团被24家房东追债到法院(1293),2020-09-09
211,香港楼价仍有下行空间2020全年或跌约10%(145),2020-09-08
212,"香港华润置地商业上线""微信支付快速积分""功能打造""微信商圈""新范...",2020-09-08
213,绿地香港2020年550亿元销售目标没有调整继续深耕长三角区域(...,2020-08-28
214,大力创新变革绿地香港实现高质量增长常态化(642),2020-08-28
215,香港华润置地正考虑分拆旗下物业管理业务在港交所独立上市(807),2020-08-26
216,香港永升生活服务2020年上半年归属股东净利润1.71亿元同比增...,2020-08-26
217,香港华润置地高层谈分拆物业商管上市(1557),2020-08-26
218,香港金地商置2020上半年营收大增85%(344),2020-08-20
219,香港放宽非住宅房地产按揭比例至50%(458),2020-08-19
220,香港佳源国际2020年上半年融资成本翻番股东有望将部分资产注入上...,2020-08-13
221,香港华润置地2020年7月销售增长89.5%至239.7亿(520),2020-08-13
222,香港佳源国际2020年1-7月销售138亿元完成年度目标近四成(...,2020-08-10
223,香港华南城高息发债连续两年销售不及预期现金不够覆盖短债(1357),2020-08-07
224,香港长实集团出售成都16年历史项目员工即将被辞退(1380),2020-08-01
225,香港九龙仓置业2020中期股东应占亏损44.54亿港元同比减少近...,2020-07-31
226,香港九龙仓置业2020年上半年收入减少20%至67.75亿港元(...,2020-07-30
227,力压中海.长实万科旗下公司37亿夺香港新界一宗宅地(377),2020-07-30
228,楼价持续走高香港官员申报房产受关注(389),2020-07-28
229,"南丰集团广州南丰汇57.1亿元ABS更新为""已反馈""(524)",2020-07-28
230,研究报告称香港物流业发展亟待支援(783),2020-07-28
231,香港推行新措施便利建筑及工程业界赴大湾区开业执业(539),2020-07-15
232,香港李嘉诚计划投资10亿英镑伦敦造城英国政府批准动工兴建(197),2020-07-11
233,李嘉诚100亿港元项目在英获批(1277),2020-07-11
234,广州已筹集近500套人才公寓供港澳居民申请(641),2020-07-08
235,香港官方楼价指数创2020年新高距历史高位仅差约3%(448),2020-07-01
236,香港雅城拟赴港IPO建设业务被剔除上市资产包应收账款账龄较长成软...,2020-06-29
237,"香港兴业国际再启""PRI2DE创造营""搭建设计实践平台(1776)",2020-06-29
238,广州雅居乐分拆旗下雅城在香港上市消息称将募资3亿至4亿美元(956),2020-06-26
239,香港宏安地产暴跌66%近百亿市值蒸发或因庄家金利丰斩仓(650),2020-06-04
240,2020年5月19日香港恒生推出两大新指数禹洲地产均获纳入(872),2020-05-20
241,香港合生创展豪掷180亿拿下北京豪宅地块(1737),2020-05-19
242,香港佳源国际2020年1-4月销售近47亿元同比下降超两成(339),2020-05-13
243,重庆金科拟分拆物业香港上市估值或超两百亿(1690),2020-04-30
244,香港世茂房地产抽升近3%拟分拆物业管理业务本港上市(211),2020-04-22
245,香港住宅物业注册2020年1季度录10799宗同比减少25.9%...,2020-04-19
246,2019年香港和泓服务上市后业绩首秀净利润远低于规模相近同行(859),2020-04-09
247,香港华润置地实现应占溢利286.72亿元(705),2020-03-27
248,香港华润置地疫情对业务的影响在预期内对半年供货影响10%(462),2020-03-27
249,香港当代置业下调目标多笔高息债拉升融资成本(1841),2020-03-27
250,2019年香港华润置地营收增两成至1477亿(420),2020-03-26
251,香港路劲基建2019年营收215亿港元(346),2020-03-23
252,香港长实2019年净利同比下降27%至291亿港元物业销售642...,2020-03-20
253,英国太古地产零售业绩两极分化内地项目明显好于香港(963),2020-03-17
254,"香港太古地产业绩""两极分化""股价跌出新低(1607)",2020-03-16
255,香港华润置地40城61个购物中心预计减免租金10.2亿元(219),2020-03-11
256,香港佳源国际2019年销售288.68亿同比增加43%(374),2020-03-10
257,合并时幸投资业绩-香港三盛控股预期2019年转亏为盈(382),2020-03-04
258,香港新世界发展2019年下半年营收近325亿港元大湾区贡献大(582),2020-02-28
259,2020年1月香港华润置地高管频繁离职后连续两月销售额大幅下滑(...,2020-02-27
260,香港加大卖地力度预计2020年收入超千亿港元(1486),2020-02-27
